condition,hospitals_reporting,total_discharges,total_readmissions,avg_err,min_err,max_err,std_err,penalized,excess_readmissions,excess_cost_m,readmit_rate_pct,penalty_rate_pct
Heart Failure,2543,835717.0,164544.0,1.0017288242233582,0.7137,1.3606,0.06514637684389571,1248,9271.542852999999,140.93,19.69,49.1
Pneumonia,2632,791147.0,128137.0,1.0017536854103344,0.7967,1.4255,0.06641336679147568,1233,8876.717677,134.93,16.2,46.8
COPD,2252,219986.0,42030.0,1.0012814387211368,0.8681,1.2545,0.045916122725452806,1067,3785.62461,57.54,19.11,47.4
Acute MI,1675,260938.0,35218.0,1.001677014925373,0.6839,1.2639,0.06698558353911421,830,3076.7137310000003,46.77,13.5,49.6
CABG,844,63513.0,6973.0,1.0023112559241707,0.7434,1.4237,0.09761803587917112,421,864.743782,13.14,10.98,49.9
Hip/Knee Arthroplasty,1397,104976.0,4892.0,1.0041533285612025,0.4698,1.6297,0.1567137390756117,669,583.9260370000001,8.88,4.66,47.9
